name,specialization,experience,rating,location
Dr. Amit Reddy,Cardiologist,11,3.8,Chennai
Dr. Riya Chopra,Pediatrician,12,4.3,Jaipur
Dr. Ishaan Rao,Gastroenterologist,6,4.3,Bangalore
Dr. Rohan Joshi,Psychiatrist,25,3.7,Jaipur
Dr. Anjali Rao,General Physician,9,5.0,Hyderabad
Dr. Ishaan Sharma,Psychiatrist,25,4.8,Bangalore
Dr. Vikram Singh,Neurologist,19,4.7,Pune
Dr. Rohan Verma,Psychiatrist,16,4.7,Lucknow
Dr. Aditi Nair,Dermatologist,20,3.6,Delhi
Dr. Ishaan Chopra,Ophthalmologist,18,4.5,Hyderabad
Dr. Sameer Singh,Dermatologist,17,4.9,Ahmedabad
Dr. Priya Malhotra,Pediatrician,12,4.6,Hyderabad
Dr. Amit Chatterjee,Cardiologist,14,4.7,Delhi
Dr. Vivek Patel,Ophthalmologist,16,4.1,Chennai
Dr. Kavya Joshi,Orthopedic,7,4.0,Jaipur
Dr. Vivek Joshi,Neurologist,19,4.5,Pune
Dr. Sneha Chopra,Orthopedic,11,4.1,Pune
Dr. Arjun Gupta,Gastroenterologist,16,4.4,Jaipur
Dr. Ishaan Gupta,Neurologist,7,4.3,Lucknow
Dr. Amit Joshi,Pediatrician,8,4.2,Bangalore
Dr. Sara Joshi,Ophthalmologist,5,4.8,Chennai
Dr. Yash Deshmukh,Cardiologist,15,4.0,Hyderabad
Dr. Aryan Khan,Ophthalmologist,24,4.0,Kolkata
Dr. Rahul Rao,Orthopedic,19,4.2,Chennai
Dr. Sonia Chopra,Cardiologist,11,4.9,Bangalore
Dr. Aditi Verma,Neurologist,15,4.8,Jaipur
Dr. Priya Verma,Ophthalmologist,25,4.2,Lucknow
Dr. Sneha Chatterjee,Neurologist,10,4.2,Lucknow
Dr. Sameer Rao,Psychiatrist,4,4.0,Chennai
Dr. Anjali Bose,Dermatologist,11,4.6,Mumbai
Dr. Vikram Khan,Orthopedic,9,4.5,Chennai
Dr. Rahul Rao,Gastroenterologist,19,4.6,Kolkata
Dr. Rohan Gupta,Cardiologist,23,3.9,Chennai
Dr. Yash Nair,Gastroenterologist,15,4.9,Bangalore
Dr. Rahul Chopra,Dermatologist,7,3.8,Lucknow
Dr. Riya Mehra,Cardiologist,18,3.6,Kolkata
Dr. Kabir Bose,Pediatrician,4,4.2,Bangalore
Dr. Sneha Malhotra,General Physician,6,4.8,Jaipur
Dr. Rahul Mehra,General Physician,12,4.4,Chennai
Dr. Rohan Nair,Pediatrician,20,4.9,Lucknow
Dr. Amit Bose,Psychiatrist,14,3.9,Kolkata
Dr. Vikram Khan,Orthopedic,19,5.0,Jaipur
Dr. Vivek Nair,Orthopedic,8,4.8,Ahmedabad
Dr. Kabir Malhotra,Psychiatrist,21,4.9,Kolkata
Dr. Vikram Khan,Psychiatrist,19,4.5,Mumbai
Dr. Aryan Singh,Orthopedic,13,4.9,Delhi
Dr. Riya Chopra,Dermatologist,3,4.8,Delhi
Dr. Yash Kulkarni,Psychiatrist,5,3.8,Jaipur
Dr. Sameer Rao,Cardiologist,13,4.0,Pune
Dr. Meera Joshi,Dermatologist,14,3.9,Ahmedabad
Dr. Anjali Singh,Ophthalmologist,5,5.0,Kolkata
Dr. Rahul Singh,Pediatrician,5,4.2,Kolkata
Dr. Anjali Chatterjee,General Physician,15,4.7,Lucknow
Dr. Sameer Chopra,Psychiatrist,15,3.6,Mumbai
Dr. Rahul Sharma,Gastroenterologist,18,3.8,Ahmedabad
Dr. Kavya Mehra,Cardiologist,16,4.6,Mumbai
Dr. Vivek Reddy,Cardiologist,20,3.8,Lucknow
Dr. Vivek Mehra,Cardiologist,14,4.4,Delhi
Dr. Vivek Joshi,Neurologist,22,4.4,Mumbai
Dr. Priya Sharma,General Physician,22,4.9,Pune
Dr. Arjun Sharma,Neurologist,13,4.3,Delhi
Dr. Meera Patel,Dermatologist,14,4.5,Delhi
Dr. Arjun Deshmukh,Orthopedic,25,3.7,Kolkata
Dr. Aditi Patel,Gastroenterologist,20,4.1,Hyderabad
Dr. Riya Khan,General Physician,20,4.6,Jaipur
Dr. Kabir Chopra,Gastroenterologist,18,4.6,Chennai
Dr. Anjali Patel,General Physician,23,4.5,Kolkata
Dr. Arjun Kulkarni,Gastroenterologist,11,4.7,Pune
Dr. Kabir Patel,Orthopedic,14,3.5,Ahmedabad
Dr. Sara Deshmukh,Cardiologist,5,3.8,Ahmedabad
Dr. Sara Nair,Ophthalmologist,21,4.9,Kolkata
Dr. Riya Joshi,Psychiatrist,13,4.8,Pune
Dr. Aryan Verma,Neurologist,15,4.8,Kolkata
Dr. Yash Patel,Dermatologist,6,4.4,Kolkata
Dr. Rohan Rao,Psychiatrist,5,4.4,Hyderabad
Dr. Vikram Khan,Dermatologist,14,4.8,Delhi
Dr. Arjun Patel,Psychiatrist,16,4.0,Lucknow
Dr. Kavya Nair,Dermatologist,22,5.0,Delhi
Dr. Aryan Nair,Cardiologist,16,4.0,Ahmedabad
Dr. Aditi Sharma,Cardiologist,19,4.8,Mumbai
Dr. Sara Reddy,Dermatologist,12,4.4,Delhi
Dr. Arjun Chatterjee,Cardiologist,18,4.9,Delhi
Dr. Meera Deshmukh,Orthopedic,17,4.8,Bangalore
Dr. Yash Kulkarni,Neurologist,17,4.9,Delhi
Dr. Sneha Kulkarni,Cardiologist,3,3.8,Hyderabad
